2026-08-03 18:38:51.188 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=14)
2026-08-03 18:38:52.247 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=15)
2026-08-03 18:38:53.349 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=16)
2026-08-03 18:38:54.462 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=17)
2026-08-03 18:38:55.567 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=18)
2026-08-03 18:38:59.579 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=6 fetched_new=9 fetched_total=59 has_next=False
2026-08-03 18:38:59.580 | INFO     | app.graphql_paginator:_paginate_curl:363 - [curl] no cursor — end of results
2026-08-03 18:38:59.583 | INFO     | app.graphql_paginator:paginate:587 - [paginate] done: has_next=False, natural end (59 ads) over 6 pages (mode=auto)
2026-08-03 18:39:00.016 | WARNING  | app.browser:goto_with_challenge_retry:155 - __rd_verify challenge (attempt 1/4) — waiting 6s for auto-reload
2026-08-03 18:39:06.101 | INFO     | app.browser:goto_with_challenge_retry:166 - Challenge cleared after 1 wait(s)
2026-08-03 18:39:11.150 | INFO     | app.browser:_capture_impl:393 - [tokens] captured session (doc_id=24922295957467452, form_fields=28, has_lsd=True)
2026-08-03 18:39:11.150 | INFO     | app.graphql_paginator:paginate:517 - [paginate] session tokens ready (pages so far=0)
2026-08-03 18:39:11.214 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 18:39:12.273 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 18:39:13.382 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 18:39:14.487 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 18:39:15.551 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-03 18:39:16.616 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=6)
2026-08-03 18:39:17.677 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=7)
2026-08-03 18:39:18.736 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=8)
2026-08-03 18:39:19.800 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=9)
2026-08-03 18:39:20.863 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=10)
2026-08-03 18:39:21.960 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=11)
2026-08-03 18:39:23.025 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=12)
2026-08-03 18:39:24.084 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=13)
2026-08-03 18:39:25.189 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=14)
2026-08-03 18:39:26.253 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=15)
2026-08-03 18:39:27.352 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=16)
2026-08-03 18:39:28.418 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=17)
2026-08-03 18:39:33.278 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=1 fetched_new=10 fetched_total=10 has_next=True
2026-08-03 18:39:38.053 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=2 fetched_new=10 fetched_total=20 has_next=True
2026-08-03 18:39:39.002 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 18:39:40.065 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 18:39:41.170 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 18:39:42.235 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 18:39:43.340 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-03 18:39:48.308 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=3 fetched_new=10 fetched_total=30 has_next=True
2026-08-03 18:39:49.232 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=4 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 18:39:54.278 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=4 fetched_new=10 fetched_total=40 has_next=True
2026-08-03 18:39:55.021 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=5 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 18:39:56.123 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=5 transport error: Failed to perform, curl: (56) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 18:39:57.187 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=5 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 18:40:26.091 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=5 fetched_new=10 fetched_total=50 has_next=True
2026-08-03 18:40:27.038 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 18:40:28.141 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 18:40:29.252 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 18:40:30.353 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 18:40:31.417 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-03 18:40:32.519 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=6)
2026-08-03 18:40:33.626 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=7)
2026-08-03 18:40:34.731 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=8)
2026-08-03 18:41:01.739 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (35) TLS connect error: error:00000000:invalid library (0):OPENSSL_internal:invalid library (0). See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=9)
2026-08-03 18:41:02.802 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=10)
