Ключ,Нашёл в целевом дне,Новых крео в базу,Карточек просмотрено,Срезов,Какие статусы прошли,Примечание
football match,70,1,1667,1,только active,""
parasite removal,69,4,680,3,active+inactive,""
Poker face,69,0,921,1,только active,""
PartyCasino,68,0,687,1,только active,""
Gaming rewards,68,0,747,1,только active,""
Fortune hunt,68,0,369,1,только active,""
Burning Classics,66,9,524,3,active+inactive,""
Cash Tornado,66,7,563,3,active+inactive,""
revitalization,63,22,1005,2,active+inactive,""
Wild West Gold,62,151,1739,3,active+inactive,""
sedentary lifestyle,62,0,1164,3,active+inactive,""
masculine strength,61,995,3138,3,active+inactive,""
match odds,60,0,481,1,только active,""
Betting pool,59,17,515,3,active+inactive,""
Big Bass Splash,59,1,500,3,active+inactive,""
Crazy Time,59,0,1200,1,только inactive,active-срез не отработал
Casino promotions,59,0,992,3,active+inactive,""
FortuneJack,57,1,329,1,только active,""
Flush fever,57,0,764,3,active+inactive,""
match tips,55,2,1500,1,только active,""
Chicken Subway,51,0,4438,3,active+inactive,""
Lucky streak,50,0,474,1,только active,""
SlotV,48,1,696,1,только active,""
William Hill,47,42,1988,3,active+inactive,""
MagicSpin,45,2,555,1,только active,""
Jackpot chase,45,0,181,1,только active,""
big multiplier,44,0,830,3,active+inactive,""
Energy joker,43,13,531,3,active+inactive,""
BC.Game,43,3,892,3,active+inactive,""
burning,43,0,800,1,только inactive,active-срез не отработал
Slot tournament,43,0,95,1,только active,""
Cash Frenzy,43,0,881,3,active+inactive,""
Spin palace,38,0,187,1,только active,""
Online gambling,37,0,876,1,только active,""
Push Gaming,37,0,351,1,только active,""
MegaLuck,37,0,376,1,только active,""
Lucky Spin Game,36,5,471,1,только active,""
Golden Casino,36,0,273,1,только active,""
unlock surprise bonus,35,65,823,3,active+inactive,""
Casino community,34,2,1037,3,active+inactive,""
predict score,34,0,310,1,только active,""
Wager war,33,423,3191,3,active+inactive,""
sports arena,33,5,528,1,только active,""
Red Tiger,33,4,447,1,только active,""
Easy money,32,0,600,1,только inactive,active-срез не отработал
platform,32,0,400,1,только inactive,active-срез не отработал
Online jackpot,32,0,253,1,только active,""
appointment,32,0,600,1,только inactive,active-срез не отработал
streaming,32,0,600,1,только inactive,active-срез не отработал
marketing,32,0,400,1,только inactive,active-срез не отработал
Sports betting,31,1,423,1,только active,""
Lucky Lu,30,10,561,3,active+inactive,""
Spaceman,30,7,582,3,active+inactive,""
Limbo,30,6,573,1,только active,""
Cash Blitz,30,3,551,3,active+inactive,""
flat stomach,29,0,1200,1,только inactive,active-срез не отработал
brittleness,29,0,3113,3,active+inactive,""
Casino adventure,29,0,943,3,active+inactive,""
win x500,28,165,2603,2,active+inactive,""
JetX3,28,0,663,1,только active,""
Secure casino,28,0,401,1,только active,""
Lucky Bird,28,0,739,1,только active,""
Mobile casino,27,0,180,1,только active,""
Relax Gaming,26,0,362,1,только active,""
Royal flush,26,0,334,1,только active,""
Withdraw instantly,25,1043,6457,3,active+inactive,""
Top slot,25,0,30,1,только active,""
Fortune Gems 500,25,0,477,3,active+inactive,""
Lucky loot,24,1,107,1,только active,""
collect symbols,23,2,460,3,active+inactive,""
sports tips,23,2,509,1,только active,""
Cystitis,23,1,455,3,active+inactive,""
LuckySpin Casino,23,0,266,1,только active,""
sweet bonanza,22,3,674,3,active+inactive,""
Crazy777,22,3,933,3,active+inactive,""
Trusted casino,21,180,1794,3,active+inactive,""
N1Bet,21,0,400,1,только active,""
chronic hemorrhoids,21,0,837,3,active+inactive,""
Fortune Ox,21,0,455,3,active+inactive,""
Bet365,20,3,648,3,active+inactive,""
Big Bass Bonanza,20,1,182,3,active+inactive,""
sports quiz,20,0,277,1,только active,""
football manager,20,0,4177,1,только active,""
Video poker,19,51,928,3,active+inactive,""
888sport,19,3,1248,3,active+inactive,""
Instant payout,19,1,459,1,только active,""
Live dealer games,19,0,152,1,только active,""
Roulette games,19,0,149,1,только active,""
cracking,18,1286,7533,3,active+inactive,""
Gambling rewards,18,2,453,1,только active,""
Mobile slots,18,2,596,1,только active,""
score predictor,18,0,156,1,только active,""
Poker tournaments,18,0,18,1,только active,""
Yggdrasil,17,22,529,3,active+inactive,""
Poker online,17,0,340,1,только active,""
sports prediction,16,0,140,1,только active,""
predict game,16,0,340,1,только active,""
Slot frenzy,14,0,861,1,только active,""
Wager rush,13,29,927,3,active+inactive,""
LeoVegas,13,3,314,1,только active,""
