Ключ,Нашёл в целевом дне,Новых крео в базу,Карточек просмотрено,Срезов,Какие статусы прошли,Примечание
Free spins,709,12,4331,4,active+inactive,""
body cleansing,708,104,15443,4,active+inactive,""
odds,708,45,9473,2,active+inactive,""
Pin-Up,706,29,5512,2,active+inactive,""
Snake eyes,706,6,2782,3,active+inactive,""
hearing loss,704,188,10783,5,active+inactive,""
Casino credit,703,20,2258,3,active+inactive,""
Casino app,701,25,2923,3,active+inactive,""
brand,701,1,1192,4,active+inactive,""
prevention,699,228,1400,3,active+inactive,""
sale,698,6,939,3,active+inactive,""
deal,692,0,966,4,active+inactive,""
spin the wheel,690,0,1155,4,active+inactive,""
collect rewards,683,19,1886,3,active+inactive,""
Free spin,677,0,2249,4,active+inactive,""
try,673,0,1117,4,active+inactive,""
sugar rush,671,4,3329,3,active+inactive,""
arcade game,666,60,1780,3,active+inactive,""
bitcoin,664,70,2029,2,active+inactive,""
Betting games,662,76,2620,3,active+inactive,""
deal cards,662,6,2010,4,active+inactive,""
Real money games,660,1,1807,4,active+inactive,""
blood pressure control,650,0,2340,5,active+inactive,""
electronics,648,192,1418,3,active+inactive,""
spin now,639,0,1138,4,active+inactive,""
Casino deals,633,8,1283,4,active+inactive,""
click,624,1,1050,4,active+inactive,""
masterclass,621,631,6310,3,active+inactive,""
bonus game,616,44,3357,3,active+inactive,""
Stack up,608,15,4015,4,active+inactive,""
start playing,601,1,4696,4,active+inactive,""
casual game,598,210,2375,4,active+inactive,""
easy,597,0,1303,4,active+inactive,""
spin to win,593,0,1323,4,active+inactive,""
join,592,0,1141,4,active+inactive,""
Table games,588,17,5734,3,active+inactive,""
offer,586,0,1114,4,active+inactive,""
bedroom confidence,583,31,3084,4,active+inactive,""
stable blood pressure,573,51,3872,4,active+inactive,""
quality,559,0,640,3,active+inactive,""
Lucky Winner,558,6,6112,3,active+inactive,""
code,549,4,1072,4,active+inactive,""
Cash App Game,540,21,2012,3,active+inactive,""
order,530,1,1065,4,active+inactive,""
macula,523,27,1200,3,active+inactive,""
larvae,523,4,1207,3,active+inactive,""
Big Win Slots,522,76,2012,3,active+inactive,""
simple,522,1,1037,4,active+inactive,""
Casino strategy,520,0,800,4,active+inactive,""
experience,520,0,1038,4,active+inactive,""
diarrhea,512,21,3455,3,active+inactive,""
Bonus wheel,511,18,1446,3,active+inactive,""
win big,503,0,3701,4,active+inactive,""
Welcome bonus,497,2516,11313,4,active+inactive,""
forex,496,98,1408,2,active+inactive,""
product,496,1,992,4,active+inactive,""
SpinWin,487,0,501,3,active+inactive,""
shop,481,1,2602,3,active+inactive,""
support,478,0,1079,4,active+inactive,""
gambling,475,5,2018,3,active+inactive,""
before,472,0,991,4,active+inactive,""
free chips,469,32,8088,3,active+inactive,""
Crash Game,466,48,3477,3,active+inactive,""
Hold 'em,464,26,5199,3,active+inactive,""
tinnitus,462,63,2205,2,active+inactive,""
start,451,0,1300,4,active+inactive,""
Mr Green,440,10,3433,3,active+inactive,""
tear production,438,99,3161,4,active+inactive,""
SpinToWin,437,0,462,2,active+inactive,""
watch,430,0,963,4,active+inactive,""
FS,427,68,9172,2,active+inactive,""
Gamble now,427,30,6943,3,active+inactive,""
hit the jackpot,406,0,1470,4,active+inactive,""
live score,395,24,7126,3,active+inactive,""
5 Lions Dance,394,147,1018,4,active+inactive,""
best,392,0,1011,4,active+inactive,""
Casino excitement,385,30,1479,5,active+inactive,""
slot machine,380,2,2831,4,active+inactive,""
poker,371,50,5017,2,active+inactive,""
after,365,0,1031,4,active+inactive,""
Deposit bonus,364,1,2608,3,active+inactive,""
erection,362,1536,8451,3,active+inactive,""
Aviator,361,142,1009,3,active+inactive,""
bowel movement,361,7,4126,4,active+inactive,""
mines,355,1,2003,1,только active,""
High roller,351,14,3168,3,active+inactive,""
BGaming,351,1,1954,4,active+inactive,""
fissures,350,110,2120,4,active+inactive,""
Casino VIP,344,12,2288,4,active+inactive,""
farsightedness,339,2,1333,3,active+inactive,""
today,338,0,1191,4,active+inactive,""
haircare,333,107,2644,4,active+inactive,""
win real money,332,0,1554,5,active+inactive,""
receding hairline,331,39,2367,4,active+inactive,""
VIP access,328,4,1705,3,active+inactive,""
Casino bonus,322,1,1697,4,active+inactive,""
ejaculation,313,32,1836,3,active+inactive,""
Casino-X,309,22,1210,3,active+inactive,""
win cash,302,593,7511,4,active+inactive,""
Casino slots,301,0,1264,4,active+inactive,""
Casino jackpot,300,8,1640,4,active+inactive,""
collect coins,299,50,1739,3,active+inactive,""
ear inflammation,299,1,1224,4,active+inactive,""
reward app,294,3,3069,3,active+inactive,""
don’t miss your chance,293,14,9020,5,active+inactive,""
welcome offer,290,1523,9284,5,active+inactive,""
Gates of olympus,287,18,1477,4,active+inactive,""
Jackpot journey,284,0,382,3,active+inactive,""
Spin Casino,283,0,3083,4,active+inactive,""
Win real cash,280,1059,5946,4,active+inactive,""
Varicose veins,276,29,3958,4,active+inactive,""
Treasure of Anubis,273,25,1634,4,active+inactive,""
sports app,272,52,4324,3,active+inactive,""
match winner,271,2,1904,3,active+inactive,""
eardrum,270,83,1433,4,active+inactive,""
Mega win,270,1,1367,3,active+inactive,""
Coin Flip,264,8,2058,4,active+inactive,""
online casino,263,0,2083,3,active+inactive,""
baldness,258,11,1018,3,active+inactive,""
new,257,1,1163,4,active+inactive,""
Spin / Spin to win / Lucky Spin,255,0,924,4,active+inactive,""
learn,254,0,1042,4,active+inactive,""
score app,252,28,5170,3,active+inactive,""
orgasm,251,780,4028,2,только active,""
vegas,245,1235,5559,3,active+inactive,""
win rewards,242,1327,7963,4,active+inactive,""
Tower Game,241,635,2063,4,active+inactive,""
VIP room,233,486,7907,5,active+inactive,""
tournament,228,1055,7574,3,active+inactive,""
prediction,228,40,1939,2,active+inactive,""
Wild card,225,220,3056,4,active+inactive,""
instant prize,225,3,844,3,active+inactive,""
Fruit Party,225,1,5245,3,active+inactive,""
scatter,224,21,2427,2,active+inactive,""
fixed match,222,10,3859,4,active+inactive,""
Casino welcome bonus,219,1,1820,3,active+inactive,""
WinSpirit,217,178,3686,3,active+inactive,""
carbohydrates,214,5,1426,3,active+inactive,""
football app,212,69,1729,4,active+inactive,""
test your knowledge,211,2,2021,4,active+inactive,""
live odds,211,2,1776,3,active+inactive,""
RoyalSpin,208,0,375,2,active+inactive,""
arousal,205,2915,9257,3,active+inactive,""
Penalty Duel,205,24,600,6,active+inactive,""
Gaming experience,205,1,4530,3,active+inactive,""
cashback,203,27,1226,3,active+inactive,""
Wheel of fortune,202,422,5022,5,active+inactive,""
WinRush,202,137,3272,3,active+inactive,""
JetLucky,201,1,822,2,active+inactive,""
Blackjack,196,43,1010,3,active+inactive,""
Online gaming,195,1,1934,3,active+inactive,""
Split bet,193,1,1170,3,active+inactive,""
sports league,192,3,2094,3,active+inactive,""
Hemorrhoids,190,29,1201,3,active+inactive,""
Live casino,189,2,2127,4,active+inactive,""
win money,188,0,492,4,active+inactive,""
Betting odds,186,3,1327,4,active+inactive,""
Betting platform,183,2,643,5,active+inactive,""
Cash App Casino,176,5,1200,5,active+inactive,""
Gaming fun,174,1,747,3,active+inactive,""
sure win,173,0,221,4,active+inactive,""
glaucoma,172,16,2317,4,active+inactive,""
super bonus,172,0,322,4,active+inactive,""
Tower Rush,167,7,1602,5,active+inactive,""
Win big / Huge win,165,165,3644,4,active+inactive,""
rejuvenating,157,20,2240,3,active+inactive,""
1xSlots,151,5,1213,2,active+inactive,""
cataract,150,18,1016,3,active+inactive,""
Dice Game,150,9,1312,3,active+inactive,""
HellSpin,146,2,1816,2,active+inactive,""
simulation game,145,2,791,3,active+inactive,""
Casino rewards,141,4,1452,4,active+inactive,""
Jackpot World,137,0,1045,3,active+inactive,""
merge game,136,6,1915,3,active+inactive,""
antiparasitic,136,1,1200,3,active+inactive,""
Safe gambling,136,0,1120,3,active+inactive,""
sports expert,135,3,2296,3,active+inactive,""
